article,final_decision
Shape symmetry analysis of breast tumors on ultrasound images.,True
Shape-Driven EIT Reconstruction Using Fourier Representations.,True
"Sharing, Liking, Commenting, and Distressed? The Pathway Between Facebook Interaction and Psychological Distress.",True
Short-Term Electric Load Forecasting With Sparse Coding Methods.,True
Short-Term Loan.,True
Simulation of a pediatric hospital in evacuation considering groups.,True
Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.,True
Simultaneous Domination in Graphs.,True
Singular value decomposition of time-varying matrices.,True
Small-Cell Assisted Group Paging for Massive MTC in LTE Networks: Design and Analysis.,True
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,True
Social Media: An Eccentric Business Communication Tool for the 21st Century Marketers.,True
Society Supports Software Engineering PE Examination.,True
Software Productivity in DevOps.,True
"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",True
Solitary wave simulations of Complex Modified Korteweg-de Vries Equation using differential quadrature method.,True
Solution algorithms for the generalized train unit shunting problem.,True
Solving Some Affine Equations over Finite Fields.,True
Solving a multiple-qualifications physician scheduling problem with multiple types of tasks by dynamic programming and variable neighborhood search.,True
Solving quadratic programs to high precision using scaled iterative refinement.,True
Sparse and Dense Linear Algebra for Machine Learning on Parallel-RDBMS Using SQL.,True
Special issue: Intelligent user interfaces.,True
Spectral Embedded Deep Clustering.,True
Spectral Variability Augmented Two-Stream Network for Hyperspectral Sparse Unmixing.,True
Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,True
Spinal alignment measurement in standing position using stereo-view roentgenography without positional calibration.,True
Stability of Non-constant Equilibrium Solutions for Bipolar Full Compressible Navier-Stokes-Maxwell Systems.,True
Stability of digital filters subject to external interference and state-delay.,True
Stabilizing an Uncertain Production System.,True
Static Scheduling for Dynamic Dataflow Machines.,True
"Statistical Modeling, Simulation, and Experimental Verification of Wideband Indoor Mobile Radio Channels.",True
"Statistical genetics & statistical genomics: Where biology, epistemology, statistics, and computation collide.",True
Steganographic transmission in optical networks with the use of direct spread spectrum technique.,True
Stepping out of the shallows.,True
Stepwise structural verification of cyclic workflow models with acyclic decomposition and reduction of loops.,True
Stochastic Models with Multistability and Extinction Levels.,True
Stoichiometric capacitance reveals the theoretical capabilities of metabolic networks.,True
Structural Analysis of Cloud Classifier.,True
Structuring and modules for knowledge bases: motivation for a new model.,True
Substitutive Systems and a Finitary Version of Cobham's Theorem.,True
Supposed maximum information for comprehensible representations in SOM.,True
Survey of security services on group communications.,True
"Survey on test case generation, selection and prioritization for cyber-physical systems.",True
Sybase System 11 Online Capabilities.,True
Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.,True
Syndicated crime and international terrorism: the lessons of '9-11'.,True
Syntax and Semantics: A Categorical View,True
System Dynamics and Tradeoffs in Radio Astronomical Data Transport of an Integrated Satellite Communication and Radio Astronomy System.,True
Systematic Integration of Design Methods.,True
Szeged index of TUC,True
TCP Pegas: A PSO-based improvement over TCP Vegas.,True
TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.,True
TOPS Imaging With TerraSAR-X: Mode Design and Performance Analysis.,True
Tame and wild kernels of quadratic imaginary number fields.,True
Targeted estimation of heterogeneous treatment effect in observational survival analysis.,True
Technological innovations in hospitals: what kind of competitive advantage does adoption lead to?,True
Technology entrepreneurial styles: a comparison of UMC and TSMC.,True
Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,True
Temperament trait Harm Avoidance associates with μ-opioid receptor availability in frontal cortex: A PET study using [,True
Ten Hot Topics around Scholarly Publishing.,True
Tensor-Based AAM with Continuous Variation Estimation: Application to Variation-Robust Face Recognition.,True
Test Power Reduction Using Integrated Scan Cell and Test Vector Reordering Techniques on Linear Scan and Double Tree Scan Architectures.,True
The Changing Library Environment.,True
The Conditions of Solvability of the Inverse Problem of Operator Equation for a Pattern Recognition Neurooperator Model.,True
The Correlation Between Bubble-Enhanced HIFU Heating and Cavitation Power.,True
The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,True
The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.,True
The First Summer School on Ubiquitous and Pervasive Computing.,True
The Game of Hacking Academic Websites.,True
The Hierarchy of Distributional Chaos.,True
The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.,True
The Questioning Turing Test.,True
The Relationship Between Trust and Use Choice in Human-Robot Interaction.,True
"The Yale human grasping dataset: Grasp, object, and task data in household and machine shop environments.",True
The changing mouse embryo transcriptome at whole tissue and single-cell resolution.,True
The effects of transparency on trust in and acceptance of a content-based art recommender.,True
"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic.",True
The game coloring number of pseudo partial ,True
The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,True
The relationship between sustainable business management and competitiveness: research trends and challenge.,True
The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.,True
The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.,True
The significance of microprogramming.,True
The strong connectivity of bubble-sort star graphs.,True
The user of the future: Reimagining how we think about information.,True
"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface.",True
Theoretical development of a probabilistic fuzzy model for opinion formation in social networks.,True
Threshold Effects of the Network Structure in the Relationship Between Patent PageRank and Patent Value.,True
Tighter constant-factor time hierarchies.,True
Time discretization and stability regions for dissipative-dispersive Kuramoto-Sivashinsky equation arising in turbulent gas flow over laminar liquid.,True
To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,True
Topic-based label distribution learning to exploit label ambiguity for scene classification.,True
Topologic Proofs of Some Combinatorial Theorems.,True
Toward Universal Stripe Removal via Wavelet-Based Deep Convolutional Neural Network.,True
Towards a logical reconstruction of structured modeling.,True
Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.,True
Towards multidimensional subspace skyline analysis.,True
Towards predictable wireless cyber-physical applications.,True
Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,True
Trading rule discovery in the US stock market: An empirical study.,True
Traffic Hazards on the Superhighway.,True
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,True
Transorbital target localization with augmented ophthalmologic surgical endoscopy.,True
"Triangular intuitionistic fuzzy random decision making based on combination of parametric estimation, score functions, and prospect theory.",True
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,True
Two Poset Polytopes.,True
Two-Pass Bilateral Smooth Filtering for Remote Sensing Imagery.,True
Two-dimensional dot codes for product identification.,True
Two-stage Robust Network Design with Exponential Scenarios.,True
UCL facsimile system.,True
UWB Channel Modeling in Roadway and Indoor Parking Environments.,True
Uncertain Currency Model and Currency Option Pricing.,True
Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,True
Universal Synchronous Rectification Scheme for LLC Resonant Converter Using Primary-Side Inductor Voltage.,True
Unsupervised Deep Joint Segmentation of Multitemporal High-Resolution Images.,True
Updating the Agenda for Academic Libraries and Scholarly Communications.,True
User-Like Executives.,True
Using Reputation Systems and Non-Deterministic Routing to Secure Wireless Sensor Networks.,True
Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.,True
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,True
Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,True
VSAT data networks.,True
Validation of the SARAH-E Satellite-Based Surface Solar Radiation Estimates over India.,True
Vector quantization of excitation gains in speech coding.,True
Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.,True
Visible light communication using TDMA optical beamforming.,True
WPS orchestration using the Taverna workbench: The eScience approach.,True
Water Management in Agriculture: A Survey on Current Challenges and Technological Solutions.,True
Waveform Interpolation-Based Speech Analysis/Synthesis for HMM-Based TTS Systems.,True
Weak Galerkin finite element method with second-order accuracy in time for parabolic problems.,True
Weblogging: A study of social computing and its impact on organizations.,True
Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.,True
Well-posedness of the generalized Navier-Stokes equations with damping.,True
What can software engineers learn from manufacturing to improve software process and product?,True
What's happening.,True
When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,True
Which security policies are enforceable by runtime monitors? A survey.,True
Wideband Interferometry in Synthetic Aperture Sonar.,True
"Words, Videos, and Popes.",True
Workshop der Nachwuchswissenschaftler/innen.,True
Workshop on multi-dimensional separation of concerns in software engineering.,True
XV. Jean Paul (1763-1825).,True
eHR Cloud Transformation: Implementation Approach and Success Factors.,True
ggparliament: A ggplot2 extension for parliament plots in R.,True
k-Efficient domination: Algorithmic perspective.,True
miR-196a-2 Promotes Malignant Progression of Thyroid Carcinoma by Targeting NRXN1.,True
mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.,True
tacmagic: Positron emission tomography analysis in R.,True
tvReg: Time-varying Coefficients in Multi-Equation Regression in R.,True
∂̄-dressing method for the coupled Gerdjikov-Ivanov equation.,True
基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).,True
