quote,cited
Visible light communication using TDMA optical beamforming.,Towards predictable wireless cyber-physical applications.
Visible light communication using TDMA optical beamforming.,Issues of Importance in Designing GaAs Microcomputer Systems.
Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,Affinity Propagation Clustering of Measurements for Multiple Extended Target Tracking.
Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,Supposed maximum information for comprehensible representations in SOM.
Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,UWB Channel Modeling in Roadway and Indoor Parking Environments.
Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,LMI conditions for global asymptotic stability results for neutral-type neural networks with distributed time delays.
Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,Determinants of IS Planning Comprehensiveness.
Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,Flexible Transaction Dependencies in Database Systems.
Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,Coalition-Based Cooperative Packet Delivery under Uncertainty: A Dynamic Bayesian Coalitional Game.
Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,Austin Center for Design.
Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,Real controllability/stabilizability radius of LTI systems.
Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,Post-anthropocentric creativity.
Service-Oriented Architecture on FPGA-Based MPSoC.,Test Power Reduction Using Integrated Scan Cell and Test Vector Reordering Techniques on Linear Scan and Double Tree Scan Architectures.
Service-Oriented Architecture on FPGA-Based MPSoC.,"An Empirical Investigation of Digital Content Characteristics, Value, and Flow."
Service-Oriented Architecture on FPGA-Based MPSoC.,Real controllability/stabilizability radius of LTI systems.
Service-Oriented Architecture on FPGA-Based MPSoC.,An integrated MOGA approach to determine the Pareto-optimal kanban number and size for a JIT system.
Service-Oriented Architecture on FPGA-Based MPSoC.,Feature Extraction in Character Recognition with Associative Memory Classifier.
A Hybrid Delay Design-for-Testability for Nonseparable RTL Controller-Data Path Circuits.,Improved field localization in transcranial magnetic stimulation of the brain with the utilization of a conductive shield plate in the stimulator.
A Hybrid Delay Design-for-Testability for Nonseparable RTL Controller-Data Path Circuits.,"An Empirical Investigation of Digital Content Characteristics, Value, and Flow."
A Hybrid Delay Design-for-Testability for Nonseparable RTL Controller-Data Path Circuits.,Society Supports Software Engineering PE Examination.
A Hybrid Delay Design-for-Testability for Nonseparable RTL Controller-Data Path Circuits.,UWB Channel Modeling in Roadway and Indoor Parking Environments.
A Hybrid Delay Design-for-Testability for Nonseparable RTL Controller-Data Path Circuits.,Knightian decision theory and econometric inferences.
基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices."
基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).,Numerical simulation of stochastic gene circuits.
基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).,Monotonicity properties of wholesale price contracts.
基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).,Phone-level pronunciation scoring and assessment for interactive language learning.
基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).,Intermodulation performance of biased-nonlinearities.
Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,A fully integrated feedback AGC loop for ZigBee (IEEE 802.15.4) RF transceiver applications.
Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,A library network model.
Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,Domain-Independent Queries on Databases with External Functions.
Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,Highly Specific and Cost-Efficient Detection of 
An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache."
An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,An attitude-driven web consensus support system for heterogeneous group decision making.
An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,Highly Specific and Cost-Efficient Detection of 
An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.
An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,Business pluralism of electronic prescriptions: state of development in Europe and the USA.
To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,Temperament trait Harm Avoidance associates with μ-opioid receptor availability in frontal cortex: A PET study using [
To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,VSAT data networks.
To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,Expected model for portfolio selection with random fuzzy returns.
To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,Convergence and steady-state analysis of the normalized least mean fourth algorithm.
To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,Two Poset Polytopes.
Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,Integral geometry for the 1-norm.
Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,Automatic analysis of electronic digital circuits using list processing.
Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices."
Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic."
Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.
Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,On weighted unbalanced linguistic aggregation operators in group decision making.
Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,Real-time multiview data fusion for object tracking with RGBD sensors.
Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,On turbo encodedBicm.
Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,On numbers of vertices of maximum degree in the spanning trees of a graph.
Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,Considerations on the multiplexing and diversity tradeoff in ieee 802.11 networks.
An integrated model to evaluate water-energy-food nexus at a household scale.,Traffic Hazards on the Superhighway.
An integrated model to evaluate water-energy-food nexus at a household scale.,FAC: A Functional APL Language.
An integrated model to evaluate water-energy-food nexus at a household scale.,On the Declarative Specification of Models.
An integrated model to evaluate water-energy-food nexus at a household scale.,FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.
An integrated model to evaluate water-energy-food nexus at a household scale.,Lattice pseudoeffect algebras as double residuated structures.
Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.
Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,In silico evaluation of the influence of the translocon on partitioning of membrane segments.
Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,Business pluralism of electronic prescriptions: state of development in Europe and the USA.
Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,Tame and wild kernels of quadratic imaginary number fields.
Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,Geoinformatics education in China.
Resultants over commutative idempotent semirings I: Algebraic aspect.,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
Resultants over commutative idempotent semirings I: Algebraic aspect.,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.
Resultants over commutative idempotent semirings I: Algebraic aspect.,Productive Use of Failure in Inductive Proof.
Resultants over commutative idempotent semirings I: Algebraic aspect.,Maximum semi-matching problem in bipartite graphs.
Resultants over commutative idempotent semirings I: Algebraic aspect.,A Variable Step Size LMS Algorithm Using Fuzzy Logic.
Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.,Processing of Noise Radar Waveforms using Block Least Mean Squares Algorithm.
Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.,The Game of Hacking Academic Websites.
Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,A tandem queueing model with coupled processors.
Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,Keyword Search Over Probabilistic RDF Graphs.
Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,A make-to-stock production/inventory model with MAP arrivals and phase-type demands.
Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,A Semantic web approach to handling soft constraints in virtual organisations.
Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,Intermodulation performance of biased-nonlinearities.
An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,3D IMPRESS vision expert system for automated construction of three-dimensional image processing procedures and its performance evaluation.
An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.
An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.
Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.,Workshop der Nachwuchswissenschaftler/innen.
Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.,Organisation innovation and entrepreneurship: the role of the national laboratories in promoting industrial development.
Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.,The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.
Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.,MODEM: multi-omics data envelopment and mining in maize.
Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.,Convergence and steady-state analysis of the normalized least mean fourth algorithm.
A Novel Emulation Model of the Cardiac Conduction System.,How Attention Changes in Response to Incentives.
A Novel Emulation Model of the Cardiac Conduction System.,A New Method to Obtain Termination in Backward Proof Search for Modal Logic 
A Novel Emulation Model of the Cardiac Conduction System.,"Multitarget likelihood computation for track-before-detect applications with amplitude fluctuations of type swerling 0, 1, and 3."
A Novel Emulation Model of the Cardiac Conduction System.,Absolutely expedient imitative behavior.
A Novel Emulation Model of the Cardiac Conduction System.,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.
An iterative approach for sparse direction-of-arrival estimation in co-prime arrays with off-grid targets.,"Pretense, Counterfactuals, and Bayesian Causal Models: Why What Is Not Real Really Matters."
An iterative approach for sparse direction-of-arrival estimation in co-prime arrays with off-grid targets.,Entanglement cost of generalised measurements.
An iterative approach for sparse direction-of-arrival estimation in co-prime arrays with off-grid targets.,Maximizing Barber's bipartite modularity is also hard.
An iterative approach for sparse direction-of-arrival estimation in co-prime arrays with off-grid targets.,UWB Channel Modeling in Roadway and Indoor Parking Environments.
An iterative approach for sparse direction-of-arrival estimation in co-prime arrays with off-grid targets.,Improving Human Decision Making through Case-Based Decision Aiding.
Array of Organic Field-Effect Transistor for Advanced Sensing.,Objective Methods for Reliable Detection of Concealed Depression.
Array of Organic Field-Effect Transistor for Advanced Sensing.,An Optimal Control Problem in Polyconvex Hyperelasticity.
Array of Organic Field-Effect Transistor for Advanced Sensing.,Characterization of unlabeled level planar trees.
Array of Organic Field-Effect Transistor for Advanced Sensing.,Comparing Data Mining Models in Academic Analytics.
Array of Organic Field-Effect Transistor for Advanced Sensing.,Technology entrepreneurial styles: a comparison of UMC and TSMC.
Numerical Minimization of Dirichlet Laplacian Eigenvalues of Four-Dimensional Geometries.,On Submesh Allocation for Mesh Multicomputers: A Best-Fit Allocation and a Virtual Submesh Allocation for Faulty Meshes.
Numerical Minimization of Dirichlet Laplacian Eigenvalues of Four-Dimensional Geometries.,On turbo encodedBicm.
Numerical Minimization of Dirichlet Laplacian Eigenvalues of Four-Dimensional Geometries.,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
Numerical Minimization of Dirichlet Laplacian Eigenvalues of Four-Dimensional Geometries.,A DEA approach for evaluating the efficiency and effectiveness of urban transit systems.
Numerical Minimization of Dirichlet Laplacian Eigenvalues of Four-Dimensional Geometries.,Lattice pseudoeffect algebras as double residuated structures.
Fast k-Nearest Neighbor Searching in Static Objects.,An integrated risk measurement and optimization model for trustworthy software process management.
Fast k-Nearest Neighbor Searching in Static Objects.,Coordinating Programs in the Network of Tasks Model.
Fast k-Nearest Neighbor Searching in Static Objects.,Accelerating Multipattern Matching on Compressed HTTP Traffic.
Fast k-Nearest Neighbor Searching in Static Objects.,Factor copula models for multivariate data.
Fast k-Nearest Neighbor Searching in Static Objects.,SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.
Penalised spline estimation for generalised partially linear single-index models.,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.
Penalised spline estimation for generalised partially linear single-index models.,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
Penalised spline estimation for generalised partially linear single-index models.,Cyber Crime: How Technology Makes it Easy and What to do About it.
Penalised spline estimation for generalised partially linear single-index models.,QoS-Aware Middleware for Web Services Composition.
Penalised spline estimation for generalised partially linear single-index models.,The effects of transparency on trust in and acceptance of a content-based art recommender.
Updating the Agenda for Academic Libraries and Scholarly Communications.,"Papers Invited from the 12th International Conference on ITS Telecommunications, Taipei, Taiwan, November 5-8, 2012 [Guest Editorial]."
Updating the Agenda for Academic Libraries and Scholarly Communications.,Prosody-driven Sentence Processing: An Event-related Brain Potential Study.
Updating the Agenda for Academic Libraries and Scholarly Communications.,"ACM/Springer Mobile Networks and Applications (MONET) Special Issue on ""Advanced Mobile Applications and Intelligent Multimedia systems for Ubi-Com""."
Updating the Agenda for Academic Libraries and Scholarly Communications.,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.
Updating the Agenda for Academic Libraries and Scholarly Communications.,Practical Verifiable Encryption and Decryption of Discrete Logarithms.
Dimension quotients of metabelian Lie rings.,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.
Dimension quotients of metabelian Lie rings.,A central limit theorem for normalized products of random matrices.
Dimension quotients of metabelian Lie rings.,Hierarchical Layouts for Photo Libraries.
Dimension quotients of metabelian Lie rings.,Making Customer Service a Priority.
Dimension quotients of metabelian Lie rings.,Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.
A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,Literate specifications.
A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,The First Summer School on Ubiquitous and Pervasive Computing.
A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,Shape symmetry analysis of breast tumors on ultrasound images.
A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,NFS version 4 Protocol.
A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,A Novel Process Network Model for Interacting Context-Aware Web Services.
Power allocation in vector estimation systems with the impact of wireless channel uncertainty.,MDP-based handover policy in wireless relay systems.
Power allocation in vector estimation systems with the impact of wireless channel uncertainty.,Generic Automorphisms with prescribed Fixed Fields.
Power allocation in vector estimation systems with the impact of wireless channel uncertainty.,A method to track cortical surface deformations using a laser range scanner.
Power allocation in vector estimation systems with the impact of wireless channel uncertainty.,Evidential weights of multiple preferences for competitiveness.
Power allocation in vector estimation systems with the impact of wireless channel uncertainty.,Editorial: State of the Journal.
An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.,Integral geometry for the 1-norm.
An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.,Factors Influencing Continuous Breath Signal in Intubated and Mechanically-Ventilated Intensive Care Unit Patients Measured by an Electronic Nose.
An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.,Technology entrepreneurial styles: a comparison of UMC and TSMC.
An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.,Modeling allosteric signal propagation using protein structure networks.
An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.,Improving amplify-and-forward relay networks: optimal power allocation versus selection.
DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.,Mixing network coding and cooperation for reliable wireless communications.
DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.,"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433."
DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.,Productive Use of Failure in Inductive Proof.
DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.,A Global Linear and Local Quadratic Noninterior Continuation Method for Nonlinear Complementarity Problems Based on Chen-Mangasarian Smoothing Functions.
DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.,Adaptive learning region importance for region-based image retrieval.
Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.,MAP Symbol decoding in channels with error bursts.
Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache."
Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.,Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.
Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.,Stoichiometric capacitance reveals the theoretical capabilities of metabolic networks.
Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.,WPS orchestration using the Taverna workbench: The eScience approach.
"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs.",Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.
"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs.","MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache."
"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs.",Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.
"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs.",Workshop on multi-dimensional separation of concerns in software engineering.
"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs.",Nonrigid medical image registration with locally linear reconstruction.
Gains and limits of diversity techniques in cognitive radio systems.,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.
Gains and limits of diversity techniques in cognitive radio systems.,Markov Chain Model for Events Following Induced Abortion.
Gains and limits of diversity techniques in cognitive radio systems.,A fast seed detection using local geometrical feature for automatic tracking of coronary arteries in CTA.
Gains and limits of diversity techniques in cognitive radio systems.,Expected model for portfolio selection with random fuzzy returns.
Gains and limits of diversity techniques in cognitive radio systems.,Intelligent Modeling and Verification 2014.
SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,Coordinating Programs in the Network of Tasks Model.
SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,On the Declarative Specification of Models.
SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,Error analysis for a non-standard class of differential quasi-interpolants.
SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,Tame and wild kernels of quadratic imaginary number fields.
SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,A weighted strategy to handle likelihood uncertainty in Bayesian inference.
Demand-oblivious routing with planned link pruning.,Comment on the Public Key Substitution Attacks.
Demand-oblivious routing with planned link pruning.,An integrated risk measurement and optimization model for trustworthy software process management.
Demand-oblivious routing with planned link pruning.,Beyond the Impact Factor: measuring the international visibility of Romanian social sciences journals.
Demand-oblivious routing with planned link pruning.,Accelerating Multipattern Matching on Compressed HTTP Traffic.
Demand-oblivious routing with planned link pruning.,Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.
Parallelizing a finite element solver in computational hemodynamics.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
Parallelizing a finite element solver in computational hemodynamics.,"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas."
Parallelizing a finite element solver in computational hemodynamics.,Assessment of changes in urban green spaces of Mashad city using satellite data.
Parallelizing a finite element solver in computational hemodynamics.,"Gateways, architectures, and heffalumps."
Parallelizing a finite element solver in computational hemodynamics.,XV. Jean Paul (1763-1825).
A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.,Fuzzy logic control of three-pole active magnetic bearing system.
A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.,New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.
A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.,Polar permutation graphs are polynomial-time recognisable.
A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.,Graph decomposition with applications to subdivisions and path systems modulo 
A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.,Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.
Personal informatics systems for supporting self-regulation in online learning environments.,On evolutionary computing in multi-ship trajectory planning.
Personal informatics systems for supporting self-regulation in online learning environments.,Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.
Personal informatics systems for supporting self-regulation in online learning environments.,An Extremal Problem on Sparse 0-1 Matrices.
Personal informatics systems for supporting self-regulation in online learning environments.,Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.
Personal informatics systems for supporting self-regulation in online learning environments.,RIO configuration optimization for assured service in diffserv networks.
A new algorithm to estimate monotone nonparametric link functions and a comparison with parametric approach.,Group consensus for heterogeneous multi-agent systems with parametric uncertainties.
A new algorithm to estimate monotone nonparametric link functions and a comparison with parametric approach.,Real-time multiview data fusion for object tracking with RGBD sensors.
A new algorithm to estimate monotone nonparametric link functions and a comparison with parametric approach.,Clustering bivariate mixed-type data via the cluster-weighted model.
A new algorithm to estimate monotone nonparametric link functions and a comparison with parametric approach.,Optimal power allocation for relayed transmissions over Rayleigh-fading channels.
A new algorithm to estimate monotone nonparametric link functions and a comparison with parametric approach.,Post-anthropocentric creativity.
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2.
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Pulsar: A resource-control architecture for time-critical service-oriented applications.
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Technology entrepreneurial styles: a comparison of UMC and TSMC.
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,A new lower bound for the minimum distance of a cyclic code.
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",A New Method to Obtain Termination in Backward Proof Search for Modal Logic 
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",Gaussian beam launching for 3D physical modeling of propagation channels.
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",On measuring the system coherency of quadratically nonlinear systems.
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",Editorial: State of the Journal.
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Algorithm 300: Coulomb wave functions.
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Assessment of changes in urban green spaces of Mashad city using satellite data.
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,ReAlignerV: Web-based genomic alignment tool with high specificity and robustness estimated by species-specific insertion sequences.
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Expected model for portfolio selection with random fuzzy returns.
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,A finite characterization of
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,An integrated risk measurement and optimization model for trustworthy software process management.
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Spinal alignment measurement in standing position using stereo-view roentgenography without positional calibration.
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Multipath Routing for Video Streaming inWireless Mesh Networks.
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,An efficient volume- rendering algorithm with an analytic approach.
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).
PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.,Comment on the Public Key Substitution Attacks.
PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.,Mercer and Wu-Srivastava generalisations of Steffensen's inequality.
PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.,Growth Theorems for a Subclass of Strongly Spirallike Functions.
PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.
PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.,基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).
Automatic seizure detection using a highly adaptive directional time-frequency distribution.,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
Automatic seizure detection using a highly adaptive directional time-frequency distribution.,Consistency degrees of theories in some systems of propositional fuzzy logic.
Automatic seizure detection using a highly adaptive directional time-frequency distribution.,Learning Security QA from the Vulnerability Researchers.
Automatic seizure detection using a highly adaptive directional time-frequency distribution.,Fast k-Nearest Neighbor Searching in Static Objects.
Automatic seizure detection using a highly adaptive directional time-frequency distribution.,Dynamic QoS control of multimedia applications based on 
Ensemble convolutional neural networks for pose estimation.,Array of Organic Field-Effect Transistor for Advanced Sensing.
Ensemble convolutional neural networks for pose estimation.,Vector quantization of excitation gains in speech coding.
